instancia,num_vertices,num_arestas,densidade,grau_medio,cores_encontradas,tempo_segundos
a,450,8260,0.0818,36.71,26,0.0010001659393310547
b,864,18707,0.0502,43.3,54,0.0020008087158203125
c,1000,14378,0.0288,28.76,23,0.0030002593994140625
d,1916,12506,0.0068,13.05,10,0.0020008087158203125
e,4730,286722,0.0256,121.24,56,0.04201221466064453
