Métrica,Valor
R-squared,0.9173
Resíduos Padrão,2.0547
"Média (70°C, 50mm)",45
"Média (70°C, 70mm)",58
"Média (85°C, 50mm)",48
"Média (85°C, 70mm)",42
F - Temperatura,53.4142
p-value - Temperatura,2e-06
Resultado - Temperatura,Significativo
F - Irrigação,7.493
p-value - Irrigação,0.01461
Resultado - Irrigação,Significativo
F - Interação,116.5627
p-value - Interação,0.0
Resultado - Interação,Significativo
