dt (s),tempo_final (s),v_final_num (m/s),v_final_analitico (m/s),erro_relativo
0.0010,4.4830,-44.9787,44.9789,2.0000
0.0020,4.4840,-44.9887,44.9892,2.0000
0.0030,4.4850,-44.9987,44.9994,2.0000
0.0040,4.4840,-44.9882,44.9892,2.0000
0.0050,4.4850,-44.9983,44.9994,2.0000
0.0060,4.4880,-45.0288,45.0302,2.0000
0.0070,4.4870,-45.0183,45.0199,2.0000
0.0080,4.4880,-45.0284,45.0302,2.0000
0.0090,4.4910,-45.0589,45.0610,2.0000
0.0100,4.4900,-45.0484,45.0507,1.9999
0.0110,4.4880,-45.0277,45.0302,1.9999
0.0120,4.4880,-45.0274,45.0302,1.9999
0.0130,4.4980,-45.1298,45.1328,1.9999
0.0140,4.4940,-45.0885,45.0918,1.9999
0.0150,4.5000,-45.1499,45.1533,1.9999
0.0160,4.4960,-45.1086,45.1123,1.9999
0.0170,4.5050,-45.2007,45.2046,1.9999
0.0180,4.5000,-45.1492,45.1533,1.9999
0.0190,4.5030,-45.1797,45.1841,1.9999
0.0200,4.5000,-45.1487,45.1533,1.9999
0.0210,4.4940,-45.0869,45.0918,1.9999
0.0220,4.5100,-45.2509,45.2560,1.9999
0.0230,4.5080,-45.2301,45.2354,1.9999
0.0240,4.5120,-45.2709,45.2765,1.9999
0.0250,4.5000,-45.1476,45.1533,1.9999
0.0260,4.4980,-45.1268,45.1328,1.9999
0.0270,4.5090,-45.2394,45.2457,1.9999
0.0280,4.5080,-45.2290,45.2354,1.9999
0.0290,4.5240,-45.3929,45.3996,1.9999
0.0300,4.5000,-45.1464,45.1533,1.9998
0.0310,4.5260,-45.4130,45.4202,1.9998
0.0320,4.5120,-45.2691,45.2765,1.9998
0.0330,4.5210,-45.3612,45.3688,1.9998
0.0340,4.5220,-45.3712,45.3791,1.9998
0.0350,4.5150,-45.2992,45.3073,1.9998
0.0360,4.5000,-45.1450,45.1533,1.9998
0.0370,4.5140,-45.2884,45.2970,1.9998
0.0380,4.5220,-45.3703,45.3791,1.9998
0.0390,4.5240,-45.3906,45.3996,1.9998
0.0400,4.5200,-45.3493,45.3586,1.9998
0.0410,4.5100,-45.2465,45.2560,1.9998
0.0420,4.5360,-45.5130,45.5228,1.9998
0.0430,4.5150,-45.2973,45.3073,1.9998
0.0440,4.5320,-45.4715,45.4818,1.9998
0.0450,4.5450,-45.6047,45.6152,1.9998
0.0460,4.5080,-45.2248,45.2354,1.9998
0.0470,4.5120,-45.2656,45.2765,1.9998
0.0480,4.5120,-45.2654,45.2765,1.9998
0.0490,4.5080,-45.2241,45.2354,1.9997
0.0500,4.5500,-45.6549,45.6665,1.9997
0.0510,4.5390,-45.5417,45.5536,1.9997
0.0520,4.5240,-45.3876,45.3996,1.9997
0.0530,4.5580,-45.7363,45.7487,1.9997
0.0540,4.5360,-45.5102,45.5228,1.9997
0.0550,4.5100,-45.2432,45.2560,1.9997
0.0560,4.5360,-45.5098,45.5228,1.9997
0.0570,4.5600,-45.7559,45.7692,1.9997
0.0580,4.5240,-45.3862,45.3996,1.9997
0.0590,4.5430,-45.5809,45.5947,1.9997
0.0600,4.5600,-45.7552,45.7692,1.9997
0.0610,4.5140,-45.2829,45.2970,1.9997
0.0620,4.5260,-45.4058,45.4202,1.9997
0.0630,4.5360,-45.5082,45.5228,1.9997
0.0640,4.5440,-45.5900,45.6049,1.9997
0.0650,4.5500,-45.6514,45.6665,1.9997
0.0660,4.5540,-45.6922,45.7076,1.9997
0.0670,4.5560,-45.7125,45.7281,1.9997
0.0680,4.5560,-45.7122,45.7281,1.9997
0.0690,4.5540,-45.6915,45.7076,1.9996
0.0700,4.5500,-45.6502,45.6665,1.9996
0.0710,4.5440,-45.5884,45.6049,1.9996
0.0720,4.5360,-45.5061,45.5228,1.9996
0.0730,4.5260,-45.4032,45.4202,1.9996
0.0740,4.5880,-46.0393,46.0567,1.9996
0.0750,4.5750,-45.9056,45.9232,1.9996
0.0760,4.5600,-45.7514,45.7692,1.9996
0.0770,4.5430,-45.5767,45.5947,1.9996
0.0780,4.5240,-45.3815,45.3996,1.9996
0.0790,4.5820,-45.9765,45.9951,1.9996
0.0800,4.5600,-45.7505,45.7692,1.9996
0.0810,4.5360,-45.5040,45.5228,1.9996
0.0820,4.5920,-46.0785,46.0978,1.9996
0.0830,4.5650,-45.8011,45.8205,1.9996
0.0840,4.5360,-45.5033,45.5228,1.9996
0.0850,4.5900,-46.0573,46.0773,1.9996
0.0860,4.5580,-45.7286,45.7487,1.9996
0.0870,4.6110,-46.2724,46.2930,1.9996
0.0880,4.5760,-45.9128,45.9335,1.9996
0.0890,4.5390,-45.5329,45.5536,1.9995
0.0900,4.5900,-46.0561,46.0773,1.9995
0.0910,4.5500,-45.6453,45.6665,1.9995
0.0920,4.6000,-46.1583,46.1800,1.9995
0.0930,4.5570,-45.7167,45.7384,1.9995
0.0940,4.6060,-46.2194,46.2416,1.9995
0.0950,4.5600,-45.7470,45.7692,1.9995
0.0960,4.6080,-46.2395,46.2622,1.9995
0.0970,4.5590,-45.7363,45.7589,1.9995
0.0980,4.6060,-46.2185,46.2416,1.9995
0.0990,4.5540,-45.6845,45.7076,1.9995
0.1000,4.6000,-46.1564,46.1800,1.9995
0.1010,4.5450,-45.5917,45.6152,1.9995
