dt (s),tempo_final (s),v_final_num (m/s),v_final_analitico (m/s),erro_relativo
0.0010,0.6970,-1007.4972,1043.0215,1.9659
0.0020,0.7020,-1023.0882,1096.5487,1.9330
0.0030,0.7050,-1018.5884,1129.9734,1.9014
0.0040,0.7080,-1014.2621,1164.4161,1.8710
0.0050,0.7150,-1050.3483,1248.9169,1.8410
0.0060,0.7200,-1066.5312,1313.0006,1.8123
0.0070,0.7210,-1041.8120,1326.2063,1.7856
0.0080,0.7280,-1078.5392,1422.4383,1.7582
0.0090,0.7290,-1053.9288,1436.7439,1.7336
0.0100,0.7300,-1030.2003,1451.1932,1.7099
0.0110,0.7370,-1066.3733,1556.4877,1.6851
0.0120,0.7440,-1103.5716,1669.4170,1.6611
0.0130,0.7410,-1039.2751,1620.0492,1.6415
0.0140,0.7420,-1016.7339,1636.3409,1.6213
0.0150,0.7500,-1062.0870,1772.7086,1.5991
0.0160,0.7520,-1049.0316,1808.5395,1.5800
0.0170,0.7650,-1147.2593,2059.7523,1.5570
0.0180,0.7560,-1023.9941,1882.3874,1.5440
0.0190,0.7600,-1030.7048,1959.2492,1.5261
0.0200,0.7800,-1200.5573,2393.2495,1.5016
0.0210,0.7770,-1133.3184,2322.4893,1.4880
0.0220,0.7700,-1032.4062,2165.4084,1.4768
0.0230,0.7820,-1117.0216,2441.6162,1.4575
0.0240,0.7920,-1186.3850,2698.5064,1.4396
0.0250,0.8000,-1237.2151,2923.3388,1.4232
0.0260,0.8060,-1267.1260,3104.1686,1.4082
0.0270,0.8100,-1274.8132,3230.8922,1.3946
0.0280,0.8120,-1260.1440,3296.1804,1.3823
0.0290,0.8120,-1224.1454,3296.1804,1.3714
0.0300,0.8100,-1168.8942,3230.8922,1.3618
0.0310,0.8060,-1097.3233,3104.1686,1.3535
0.0320,0.8000,-1012.9707,2923.3388,1.3465
0.0330,0.8250,-1223.5225,3753.9199,1.3259
0.0340,0.8160,-1101.0255,3430.7401,1.3209
0.0350,0.8400,-1316.3031,4361.5915,1.3018
0.0360,0.8280,-1155.3014,3868.2737,1.2987
0.0370,0.8510,-1367.5103,4868.8630,1.2809
0.0380,0.8360,-1171.2384,4190.5326,1.2795
0.0390,0.8580,-1373.0439,5221.9665,1.2629
0.0400,0.8400,-1148.1188,4361.5915,1.2632
0.0410,0.8610,-1333.3709,5381.0290,1.2478
0.0420,0.8400,-1089.0426,4361.5915,1.2497
0.0430,0.8600,-1253.2853,5327.4771,1.2352
0.0440,0.8800,-1440.8649,6507.2124,1.2214
0.0450,0.8550,-1141.0057,5067.6051,1.2252
0.0460,0.8740,-1300.3065,6128.2047,1.2122
0.0470,0.8930,-1480.5078,7410.7343,1.1998
0.0480,0.8640,-1137.6418,5544.9356,1.2052
0.0490,0.8820,-1284.3703,6638.6866,1.1935
0.0500,0.9000,-1448.8309,7948.1443,1.1823
0.0510,0.8670,-1081.1432,5713.8339,1.1892
0.0520,0.8840,-1209.6450,6772.8168,1.1786
0.0530,0.9010,-1352.4101,8028.0344,1.1685
0.0540,0.9180,-1510.9127,9515.8499,1.1588
0.0550,0.8800,-1087.8894,6507.2124,1.1672
0.0560,0.8960,-1205.8948,7636.4547,1.1579
0.0570,0.9120,-1335.8098,8961.6328,1.1491
0.0580,0.9280,-1478.7487,10516.7437,1.1406
0.0590,0.8850,-1028.5179,6840.8946,1.1503
0.0600,0.9000,-1130.0350,7948.1443,1.1422
0.0610,0.9150,-1240.8347,9234.5850,1.1344
0.0620,0.9300,-1361.7001,10729.2158,1.1269
0.0630,0.9450,-1493.4748,12465.7291,1.1198
0.0640,0.9600,-1637.0674,14483.2697,1.1130
0.0650,0.9100,-1086.5565,8784.1611,1.1237
0.0660,0.9240,-1182.5571,10104.3378,1.1170
0.0670,0.9380,-1286.3778,11622.9025,1.1107
0.0680,0.9520,-1398.6029,13369.6676,1.1046
0.0690,0.9660,-1519.8567,15378.9258,1.0988
0.0700,0.9800,-1650.8055,17690.1228,1.0933
0.0710,0.9230,-1047.6397,10003.7882,1.1047
0.0720,0.9360,-1130.2175,11392.7342,1.0992
0.0730,0.9490,-1218.7620,12974.5052,1.0939
0.0740,0.9620,-1313.6662,14775.8710,1.0889
0.0750,0.9750,-1415.3463,16827.3175,1.0841
0.0760,0.9880,-1524.2432,19163.5629,1.0795
0.0770,1.0010,-1640.8236,21824.1456,1.0752
0.0780,1.0140,-1765.5816,24854.0926,1.0710
0.0790,0.9480,-1060.4833,12845.3970,1.0826
0.0800,0.9600,-1133.8706,14483.2697,1.0783
0.0810,0.9720,-1211.8824,16329.9661,1.0742
0.0820,0.9840,-1294.7823,18412.1104,1.0703
0.0830,0.9960,-1382.8469,20759.7216,1.0666
0.0840,1.0080,-1476.3673,23406.6458,1.0631
0.0850,1.0200,-1575.6489,26391.0445,1.0597
0.0860,1.0320,-1681.0126,29755.9447,1.0565
0.0870,1.0440,-1792.7953,33549.8590,1.0534
0.0880,0.9680,-1016.2167,15689.6205,1.0648
0.0890,0.9790,-1077.3420,17514.0934,1.0615
0.0900,0.9900,-1141.7884,19550.7124,1.0584
0.0910,1.0010,-1209.7176,21824.1456,1.0554
0.0920,1.0120,-1281.2980,24361.9292,1.0526
0.0930,1.0230,-1356.7052,27194.8014,1.0499
0.0940,1.0340,-1436.1225,30357.0745,1.0473
0.0950,1.0450,-1519.7407,33887.0506,1.0448
0.0960,1.0560,-1607.7587,37827.4855,1.0425
0.0970,1.0670,-1700.3840,42226.1066,1.0403
0.0980,1.0780,-1797.8323,47136.1909,1.0381
0.0990,1.0890,-1900.3286,52617.2103,1.0361
0.1000,1.1000,-2008.1070,58735.5520,1.0342
0.1010,1.0100,-1054.9355,23879.5112,1.0442
0.1020,1.0200,-1108.6605,26391.0445,1.0420
0.1030,1.0300,-1164.8333,29166.7181,1.0399
0.1040,1.0400,-1223.5525,32234.3118,1.0380
0.1050,1.0500,-1284.9202,35624.5271,1.0361
0.1060,1.0600,-1349.0421,39371.2945,1.0343
0.1070,1.0700,-1416.0275,43512.1129,1.0325
0.1080,1.0800,-1485.9895,48088.4249,1.0309
0.1090,1.0900,-1559.0451,53146.0319,1.0293
0.1100,1.1000,-1635.3153,58735.5520,1.0278
0.1110,1.1100,-1714.9253,64912.9271,1.0264
0.1120,1.1200,-1798.0043,71739.9824,1.0251
0.1130,1.1300,-1884.6862,79285.0454,1.0238
0.1140,1.1400,-1975.1091,87623.6296,1.0225
0.1150,1.1500,-2069.4159,96839.1904,1.0214
0.1160,1.1600,-2167.7542,107023.9601,1.0203
0.1170,1.0530,-1045.6814,36709.4854,1.0285
0.1180,1.0620,-1089.9002,40166.6672,1.0271
0.1190,1.0710,-1135.7718,43949.4267,1.0258
0.1200,1.0800,-1183.3501,48088.4249,1.0246
0.1210,1.0890,-1232.6903,52617.2103,1.0234
0.1220,1.0980,-1283.8493,57572.4907,1.0223
0.1230,1.1070,-1336.8855,62994.4312,1.0212
0.1240,1.1160,-1391.8588,68926.9790,1.0202
0.1250,1.1250,-1448.8309,75418.2203,1.0192
0.1260,1.1340,-1507.8652,82520.7695,1.0183
0.1270,1.1430,-1569.0265,90292.1963,1.0174
0.1280,1.1520,-1632.3817,98795.4916,1.0165
0.1290,1.1610,-1697.9993,108099.5786,1.0157
0.1300,1.1700,-1765.9498,118279.8714,1.0149
0.1310,1.1790,-1836.3053,129418.8860,1.0142
0.1320,1.1880,-1909.1400,141606.9092,1.0135
0.1330,1.1970,-1984.5300,154942.7308,1.0128
0.1340,1.2060,-2062.5535,169534.4439,1.0122
0.1350,1.2150,-2143.2905,185500.3211,1.0116
0.1360,1.2240,-2226.8233,202969.7734,1.0110
0.1370,1.2330,-2313.2362,222084.3988,1.0104
0.1380,1.2420,-2402.6158,242999.1304,1.0099
0.1390,1.1120,-1043.3838,66224.2751,1.0158
0.1400,1.1200,-1078.8578,71739.9824,1.0150
0.1410,1.1280,-1115.3818,77715.0769,1.0144
0.1420,1.1360,-1152.9821,84187.8195,1.0137
0.1430,1.1440,-1191.6860,91199.6578,1.0131
0.1440,1.1520,-1231.5210,98795.4916,1.0125
0.1450,1.1600,-1272.5153,107023.9601,1.0119
0.1460,1.1680,-1314.6978,115937.7536,1.0113
0.1470,1.1760,-1358.0978,125593.9508,1.0108
0.1480,1.1840,-1402.7454,136054.3844,1.0103
0.1490,1.1920,-1448.6711,147386.0369,1.0098
0.1500,1.2000,-1495.9062,159661.4694,1.0094
0.1510,1.2080,-1544.4826,172959.2867,1.0089
0.1520,1.2160,-1594.4328,187364.6402,1.0085
0.1530,1.2240,-1645.7899,202969.7734,1.0081
0.1540,1.2320,-1698.5878,219874.6123,1.0077
0.1550,1.2400,-1752.8609,238187.4058,1.0074
0.1560,1.2480,-1808.6446,258025.4181,1.0070
0.1570,1.2560,-1865.9746,279515.6802,1.0067
0.1580,1.2640,-1924.8876,302795.8033,1.0064
0.1590,1.2720,-1985.4209,328014.8596,1.0061
0.1600,1.2800,-2047.6125,355334.3371,1.0058
0.1610,1.2880,-2111.5012,384929.1738,1.0055
0.1620,1.2960,-2177.1266,416988.8776,1.0052
0.1630,1.3040,-2244.5290,451718.7402,1.0050
0.1640,1.3120,-2313.7494,489341.1512,1.0047
0.1650,1.3200,-2384.8298,530097.0224,1.0045
0.1660,1.3280,-2457.8127,574247.3307,1.0043
0.1670,1.3360,-2532.7418,622074.7887,1.0041
0.1680,1.3440,-2609.6612,673885.6555,1.0039
0.1690,1.3520,-2688.6162,730011.6974,1.0037
0.1700,1.1900,-1025.1796,144467.5784,1.0071
0.1710,1.1970,-1052.0812,154942.7308,1.0068
0.1720,1.2040,-1079.5851,166177.4176,1.0065
0.1730,1.2110,-1107.7024,178226.7110,1.0062
0.1740,1.2180,-1136.4445,191149.6768,1.0059
0.1750,1.2250,-1165.8229,205009.6634,1.0057
0.1760,1.2320,-1195.8493,219874.6123,1.0054
0.1770,1.2390,-1226.5356,235817.3917,1.0052
0.1780,1.2460,-1257.8939,252916.1530,1.0050
0.1790,1.2530,-1289.9363,271254.7144,1.0048
0.1800,1.2600,-1322.6753,290922.9716,1.0045
0.1810,1.2670,-1356.1234,312017.3382,1.0043
0.1820,1.2740,-1390.2933,334641.2191,1.0042
0.1830,1.2810,-1425.1981,358905.5164,1.0040
0.1840,1.2880,-1460.8507,384929.1738,1.0038
0.1850,1.2950,-1497.2647,412839.7592,1.0036
0.1860,1.3020,-1534.4533,442774.0904,1.0035
0.1870,1.3090,-1572.4304,474878.9055,1.0033
0.1880,1.3160,-1611.2097,509311.5824,1.0032
0.1890,1.3230,-1650.8055,546240.9101,1.0030
0.1900,1.3300,-1691.2319,585847.9161,1.0029
0.1910,1.3370,-1732.5034,628326.7542,1.0028
0.1920,1.3440,-1774.6347,673885.6555,1.0026
0.1930,1.3510,-1817.6406,722747.9498,1.0025
0.1940,1.3580,-1861.5363,775153.1603,1.0024
0.1950,1.3650,-1906.3371,831358.1773,1.0023
0.1960,1.3720,-1952.0583,891638.5178,1.0022
0.1970,1.3790,-1998.7158,956289.6762,1.0021
0.1980,1.3860,-2046.3255,1025628.5725,1.0020
0.1990,1.3930,-2094.9034,1099995.1061,1.0019
0.2000,1.4000,-2144.4660,1179753.8218,1.0018
0.2010,1.4070,-2195.0298,1265295.6968,1.0017
0.2020,1.4140,-2246.6117,1357040.0577,1.0017
0.2030,1.4210,-2299.2286,1455436.6353,1.0016
0.2040,1.4280,-2352.8978,1560967.7698,1.0015
0.2050,1.4350,-2407.6368,1674150.7749,1.0014
0.2060,1.4420,-2463.4632,1795540.4739,1.0014
0.2070,1.4490,-2520.3951,1925731.9191,1.0013
0.2080,1.4560,-2578.4506,2065363.3093,1.0012
0.2090,1.4630,-2637.6482,2215119.1176,1.0012
0.2100,1.4700,-2698.0064,2375733.4472,1.0011
0.2110,1.4770,-2759.5443,2547993.6298,1.0011
0.2120,1.4840,-2822.2809,2732744.0848,1.0010
0.2130,1.4910,-2886.2356,2930890.4594,1.0010
0.2140,1.4980,-2951.4282,3143404.0672,1.0009
0.2150,1.5050,-3017.8784,3371326.6502,1.0009
0.2160,1.5120,-3085.6064,3615775.4851,1.0009
0.2170,1.5190,-3154.6328,3877948.8605,1.0008
0.2180,1.3080,-1013.4715,470153.7717,1.0022
0.2190,1.3140,-1032.7632,499226.5180,1.0021
0.2200,1.3200,-1052.3597,530097.0224,1.0020
0.2210,1.3260,-1072.2648,562876.4523,1.0019
0.2220,1.3320,-1092.4824,597682.8489,1.0018
0.2230,1.3380,-1113.0163,634641.5529,1.0018
0.2240,1.3440,-1133.8706,673885.6555,1.0017
0.2250,1.3500,-1155.0492,715556.4778,1.0016
0.2260,1.3560,-1176.5561,759804.0799,1.0015
0.2270,1.3620,-1198.3955,806787.8009,1.0015
0.2280,1.3680,-1220.5713,856676.8330,1.0014
