# tempo(s)	posicao(m)	velocidade(m/s)	aceleracao(m/s^2)
1.43000	90.03991	-14.02830	-9.81000
1.44000	89.89962	-14.12640	-9.81000
1.45000	89.75836	-14.22450	-9.81000
1.46000	89.61612	-14.32260	-9.81000
1.47000	89.47289	-14.42070	-9.81000
1.48000	89.32868	-14.51880	-9.81000
1.49000	89.18349	-14.61690	-9.81000
1.50000	89.03733	-14.71500	-9.81000
1.51000	88.89018	-14.81310	-9.81000
1.52000	88.74204	-14.91120	-9.81000
1.53000	88.59293	-15.00930	-9.81000
1.54000	88.44284	-15.10740	-9.81000
1.55000	88.29177	-15.20550	-9.81000
1.56000	88.13971	-15.30360	-9.81000
1.57000	87.98667	-15.40170	-9.81000
1.58000	87.83266	-15.49980	-9.81000
1.59000	87.67766	-15.59790	-9.81000
1.60000	87.52168	-15.69600	-9.81000
1.61000	87.36472	-15.79410	-9.81000
1.62000	87.20678	-15.89220	-9.81000
1.63000	87.04786	-15.99030	-9.81000
1.64000	86.88795	-16.08840	-9.81000
1.65000	86.72707	-16.18650	-9.81000
1.66000	86.56521	-16.28460	-9.81000
1.67000	86.40236	-16.38270	-9.81000
1.68000	86.23853	-16.48080	-9.81000
1.69000	86.07372	-16.57890	-9.81000
1.70000	85.90794	-16.67700	-9.81000
1.71000	85.74117	-16.77510	-9.81000
1.72000	85.57341	-16.87320	-9.81000
1.73000	85.40468	-16.97130	-9.81000
1.74000	85.23497	-17.06940	-9.81000
1.75000	85.06428	-17.16750	-9.81000
1.76000	84.89260	-17.26560	-9.81000
1.77000	84.71994	-17.36370	-9.81000
1.78000	84.54631	-17.46180	-9.81000
1.79000	84.37169	-17.55990	-9.81000
1.80000	84.19609	-17.65800	-9.81000
1.81000	84.01951	-17.75610	-9.81000
1.82000	83.84195	-17.85420	-9.81000
1.83000	83.66341	-17.95230	-9.81000
1.84000	83.48388	-18.05040	-9.81000
1.85000	83.30338	-18.14850	-9.81000
1.86000	83.12190	-18.24660	-9.81000
1.87000	82.93943	-18.34470	-9.81000
1.88000	82.75598	-18.44280	-9.81000
1.89000	82.57155	-18.54090	-9.81000
1.90000	82.38615	-18.63900	-9.81000
1.91000	82.19976	-18.73710	-9.81000
1.92000	82.01238	-18.83520	-9.81000
1.93000	81.82403	-18.93330	-9.81000
1.94000	81.63470	-19.03140	-9.81000
1.95000	81.44439	-19.12950	-9.81000
1.96000	81.25309	-19.22760	-9.81000
1.97000	81.06081	-19.32570	-9.81000
1.98000	80.86756	-19.42380	-9.81000
1.99000	80.67332	-19.52190	-9.81000
2.00000	80.47810	-19.62000	-9.81000
2.01000	80.28190	-19.71810	-9.81000
2.02000	80.08472	-19.81620	-9.81000
2.03000	79.88656	-19.91430	-9.81000
2.04000	79.68741	-20.01240	-9.81000
2.05000	79.48729	-20.11050	-9.81000
2.06000	79.28619	-20.20860	-9.81000
2.07000	79.08410	-20.30670	-9.81000
2.08000	78.88103	-20.40480	-9.81000
2.09000	78.67698	-20.50290	-9.81000
2.10000	78.47196	-20.60100	-9.81000
2.11000	78.26595	-20.69910	-9.81000
2.12000	78.05895	-20.79720	-9.81000
2.13000	77.85098	-20.89530	-9.81000
2.14000	77.64203	-20.99340	-9.81000
2.15000	77.43210	-21.09150	-9.81000
2.16000	77.22118	-21.18960	-9.81000
2.17000	77.00928	-21.28770	-9.81000
2.18000	76.79641	-21.38580	-9.81000
2.19000	76.58255	-21.48390	-9.81000
2.20000	76.36771	-21.58200	-9.81000
2.21000	76.15189	-21.68010	-9.81000
2.22000	75.93509	-21.77820	-9.81000
2.23000	75.71731	-21.87630	-9.81000
2.24000	75.49854	-21.97440	-9.81000
2.25000	75.27880	-22.07250	-9.81000
2.26000	75.05808	-22.17060	-9.81000
2.27000	74.83637	-22.26870	-9.81000
2.28000	74.61368	-22.36680	-9.81000
2.29000	74.39001	-22.46490	-9.81000
2.30000	74.16537	-22.56300	-9.81000
2.31000	73.93974	-22.66110	-9.81000
2.32000	73.71312	-22.75920	-9.81000
2.33000	73.48553	-22.85730	-9.81000
2.34000	73.25696	-22.95540	-9.81000
2.35000	73.02741	-23.05350	-9.81000
2.36000	72.79687	-23.15160	-9.81000
2.37000	72.56535	-23.24970	-9.81000
2.38000	72.33286	-23.34780	-9.81000
2.39000	72.09938	-23.44590	-9.81000
2.40000	71.86492	-23.54400	-9.81000
2.41000	71.62948	-23.64210	-9.81000
2.42000	71.39306	-23.74020	-9.81000
2.43000	71.15566	-23.83830	-9.81000
2.44000	70.91727	-23.93640	-9.81000
2.45000	70.67791	-24.03450	-9.81000
2.46000	70.43757	-24.13260	-9.81000
2.47000	70.19624	-24.23070	-9.81000
2.48000	69.95393	-24.32880	-9.81000
2.49000	69.71064	-24.42690	-9.81000
2.50000	69.46638	-24.52500	-9.81000
2.51000	69.22113	-24.62310	-9.81000
2.52000	68.97489	-24.72120	-9.81000
2.53000	68.72768	-24.81930	-9.81000
2.54000	68.47949	-24.91740	-9.81000
2.55000	68.23032	-25.01550	-9.81000
2.56000	67.98016	-25.11360	-9.81000
2.57000	67.72902	-25.21170	-9.81000
2.58000	67.47691	-25.30980	-9.81000
2.59000	67.22381	-25.40790	-9.81000
2.60000	66.96973	-25.50600	-9.81000
2.61000	66.71467	-25.60410	-9.81000
2.62000	66.45863	-25.70220	-9.81000
2.63000	66.20161	-25.80030	-9.81000
2.64000	65.94360	-25.89840	-9.81000
2.65000	65.68462	-25.99650	-9.81000
2.66000	65.42466	-26.09460	-9.81000
2.67000	65.16371	-26.19270	-9.81000
2.68000	64.90178	-26.29080	-9.81000
2.69000	64.63887	-26.38890	-9.81000
2.70000	64.37499	-26.48700	-9.81000
2.71000	64.11012	-26.58510	-9.81000
2.72000	63.84426	-26.68320	-9.81000
2.73000	63.57743	-26.78130	-9.81000
2.74000	63.30962	-26.87940	-9.81000
2.75000	63.04083	-26.97750	-9.81000
2.76000	62.77105	-27.07560	-9.81000
2.77000	62.50029	-27.17370	-9.81000
2.78000	62.22856	-27.27180	-9.81000
2.79000	61.95584	-27.36990	-9.81000
2.80000	61.68214	-27.46800	-9.81000
2.81000	61.40746	-27.56610	-9.81000
2.82000	61.13180	-27.66420	-9.81000
2.83000	60.85516	-27.76230	-9.81000
2.84000	60.57753	-27.86040	-9.81000
2.85000	60.29893	-27.95850	-9.81000
2.86000	60.01935	-28.05660	-9.81000
2.87000	59.73878	-28.15470	-9.81000
2.88000	59.45723	-28.25280	-9.81000
2.89000	59.17470	-28.35090	-9.81000
2.90000	58.89120	-28.44900	-9.81000
2.91000	58.60671	-28.54710	-9.81000
2.92000	58.32123	-28.64520	-9.81000
2.93000	58.03478	-28.74330	-9.81000
2.94000	57.74735	-28.84140	-9.81000
2.95000	57.45894	-28.93950	-9.81000
2.96000	57.16954	-29.03760	-9.81000
2.97000	56.87916	-29.13570	-9.81000
2.98000	56.58781	-29.23380	-9.81000
2.99000	56.29547	-29.33190	-9.81000
3.00000	56.00215	-29.43000	-9.81000
3.01000	55.70785	-29.52810	-9.81000
3.02000	55.41257	-29.62620	-9.81000
3.03000	55.11631	-29.72430	-9.81000
3.04000	54.81906	-29.82240	-9.81000
3.05000	54.52084	-29.92050	-9.81000
3.06000	54.22164	-30.01860	-9.81000
3.07000	53.92145	-30.11670	-9.81000
3.08000	53.62028	-30.21480	-9.81000
3.09000	53.31813	-30.31290	-9.81000
3.10000	53.01501	-30.41100	-9.81000
3.11000	52.71090	-30.50910	-9.81000
3.12000	52.40580	-30.60720	-9.81000
3.13000	52.09973	-30.70530	-9.81000
3.14000	51.79268	-30.80340	-9.81000
3.15000	51.48465	-30.90150	-9.81000
3.16000	51.17563	-30.99960	-9.81000
3.17000	50.86563	-31.09770	-9.81000
3.18000	50.55466	-31.19580	-9.81000
3.19000	50.24270	-31.29390	-9.81000
3.20000	49.92976	-31.39200	-9.81000
3.21000	49.61584	-31.49010	-9.81000
3.22000	49.30094	-31.58820	-9.81000
3.23000	48.98506	-31.68630	-9.81000
3.24000	48.66819	-31.78440	-9.81000
3.25000	48.35035	-31.88250	-9.81000
3.26000	48.03153	-31.98060	-9.81000
3.27000	47.71172	-32.07870	-9.81000
3.28000	47.39093	-32.17680	-9.81000
3.29000	47.06916	-32.27490	-9.81000
3.30000	46.74642	-32.37300	-9.81000
3.31000	46.42269	-32.47110	-9.81000
3.32000	46.09797	-32.56920	-9.81000
3.33000	45.77228	-32.66730	-9.81000
3.34000	45.44561	-32.76540	-9.81000
3.35000	45.11796	-32.86350	-9.81000
3.36000	44.78932	-32.96160	-9.81000
3.37000	44.45970	-33.05970	-9.81000
3.38000	44.12911	-33.15780	-9.81000
3.39000	43.79753	-33.25590	-9.81000
3.40000	43.46497	-33.35400	-9.81000
3.41000	43.13143	-33.45210	-9.81000
3.42000	42.79691	-33.55020	-9.81000
3.43000	42.46141	-33.64830	-9.81000
3.44000	42.12492	-33.74640	-9.81000
3.45000	41.78746	-33.84450	-9.81000
3.46000	41.44902	-33.94260	-9.81000
3.47000	41.10959	-34.04070	-9.81000
3.48000	40.76918	-34.13880	-9.81000
3.49000	40.42779	-34.23690	-9.81000
3.50000	40.08543	-34.33500	-9.81000
3.51000	39.74208	-34.43310	-9.81000
3.52000	39.39774	-34.53120	-9.81000
3.53000	39.05243	-34.62930	-9.81000
3.54000	38.70614	-34.72740	-9.81000
3.55000	38.35887	-34.82550	-9.81000
3.56000	38.01061	-34.92360	-9.81000
3.57000	37.66137	-35.02170	-9.81000
3.58000	37.31116	-35.11980	-9.81000
3.59000	36.95996	-35.21790	-9.81000
3.60000	36.60778	-35.31600	-9.81000
3.61000	36.25462	-35.41410	-9.81000
3.62000	35.90048	-35.51220	-9.81000
3.63000	35.54536	-35.61030	-9.81000
3.64000	35.18925	-35.70840	-9.81000
3.65000	34.83217	-35.80650	-9.81000
3.66000	34.47411	-35.90460	-9.81000
3.67000	34.11506	-36.00270	-9.81000
3.68000	33.75503	-36.10080	-9.81000
3.69000	33.39402	-36.19890	-9.81000
3.70000	33.03204	-36.29700	-9.81000
3.71000	32.66907	-36.39510	-9.81000
3.72000	32.30511	-36.49320	-9.81000
3.73000	31.94018	-36.59130	-9.81000
3.74000	31.57427	-36.68940	-9.81000
3.75000	31.20738	-36.78750	-9.81000
3.76000	30.83950	-36.88560	-9.81000
3.77000	30.47064	-36.98370	-9.81000
3.78000	30.10081	-37.08180	-9.81000
3.79000	29.72999	-37.17990	-9.81000
3.80000	29.35819	-37.27800	-9.81000
3.81000	28.98541	-37.37610	-9.81000
3.82000	28.61165	-37.47420	-9.81000
3.83000	28.23691	-37.57230	-9.81000
3.84000	27.86118	-37.67040	-9.81000
3.85000	27.48448	-37.76850	-9.81000
3.86000	27.10680	-37.86660	-9.81000
3.87000	26.72813	-37.96470	-9.81000
3.88000	26.34848	-38.06280	-9.81000
3.89000	25.96785	-38.16090	-9.81000
3.90000	25.58625	-38.25900	-9.81000
3.91000	25.20366	-38.35710	-9.81000
3.92000	24.82008	-38.45520	-9.81000
3.93000	24.43553	-38.55330	-9.81000
3.94000	24.05000	-38.65140	-9.81000
3.95000	23.66349	-38.74950	-9.81000
3.96000	23.27599	-38.84760	-9.81000
3.97000	22.88751	-38.94570	-9.81000
3.98000	22.49806	-39.04380	-9.81000
3.99000	22.10762	-39.14190	-9.81000
4.00000	21.71620	-39.24000	-9.81000
4.01000	21.32380	-39.33810	-9.81000
4.02000	20.93042	-39.43620	-9.81000
4.03000	20.53606	-39.53430	-9.81000
4.04000	20.14071	-39.63240	-9.81000
4.05000	19.74439	-39.73050	-9.81000
4.06000	19.34709	-39.82860	-9.81000
4.07000	18.94880	-39.92670	-9.81000
4.08000	18.54953	-40.02480	-9.81000
4.09000	18.14928	-40.12290	-9.81000
4.10000	17.74806	-40.22100	-9.81000
4.11000	17.34585	-40.31910	-9.81000
4.12000	16.94265	-40.41720	-9.81000
4.13000	16.53848	-40.51530	-9.81000
4.14000	16.13333	-40.61340	-9.81000
4.15000	15.72720	-40.71150	-9.81000
4.16000	15.32008	-40.80960	-9.81000
4.17000	14.91198	-40.90770	-9.81000
4.18000	14.50291	-41.00580	-9.81000
4.19000	14.09285	-41.10390	-9.81000
4.20000	13.68181	-41.20200	-9.81000
4.21000	13.26979	-41.30010	-9.81000
4.22000	12.85679	-41.39820	-9.81000
4.23000	12.44281	-41.49630	-9.81000
4.24000	12.02784	-41.59440	-9.81000
4.25000	11.61190	-41.69250	-9.81000
4.26000	11.19498	-41.79060	-9.81000
4.27000	10.77707	-41.88870	-9.81000
4.28000	10.35818	-41.98680	-9.81000
4.29000	9.93831	-42.08490	-9.81000
4.30000	9.51747	-42.18300	-9.81000
4.31000	9.09564	-42.28110	-9.81000
4.32000	8.67282	-42.37920	-9.81000
4.33000	8.24903	-42.47730	-9.81000
4.34000	7.82426	-42.57540	-9.81000
4.35000	7.39851	-42.67350	-9.81000
4.36000	6.97177	-42.77160	-9.81000
4.37000	6.54405	-42.86970	-9.81000
4.38000	6.11536	-42.96780	-9.81000
4.39000	5.68568	-43.06590	-9.81000
4.40000	5.25502	-43.16400	-9.81000
4.41000	4.82338	-43.26210	-9.81000
4.42000	4.39076	-43.36020	-9.81000
4.43000	3.95716	-43.45830	-9.81000
4.44000	3.52257	-43.55640	-9.81000
4.45000	3.08701	-43.65450	-9.81000
4.46000	2.65047	-43.75260	-9.81000
4.47000	2.21294	-43.85070	-9.81000
4.48000	1.77443	-43.94880	-9.81000
4.49000	1.33494	-44.04690	-9.81000
4.50000	0.89448	-44.14500	-9.81000
4.51000	0.45303	-44.24310	-9.81000
4.52000	0.01059	-44.34120	-9.81000
4.53000	0.00000	-44.43930	-9.81000
