id_instancia,tamanho,num_vertices,num_arestas,densidade,grau_medio
1,5,5,1,0.1,0.4
2,5,5,1,0.1,0.4
3,5,5,3,0.3,1.2
4,6,6,4,0.26666666666666666,1.3333333333333333
5,6,6,3,0.2,1.0
6,6,6,3,0.2,1.0
7,7,7,13,0.6190476190476191,3.7142857142857144
8,7,7,11,0.5238095238095238,3.142857142857143
9,7,7,3,0.14285714285714285,0.8571428571428571
10,8,8,14,0.5,3.5
11,8,8,12,0.42857142857142855,3.0
12,8,8,7,0.25,1.75
13,9,9,19,0.5277777777777778,4.222222222222222
14,9,9,18,0.5,4.0
15,9,9,17,0.4722222222222222,3.7777777777777777
16,10,10,28,0.6222222222222222,5.6
17,10,10,19,0.4222222222222222,3.8
18,10,10,23,0.5111111111111111,4.6
19,11,11,33,0.6,6.0
20,11,11,37,0.6727272727272727,6.7272727272727275
21,11,11,33,0.6,6.0
22,12,12,46,0.696969696969697,7.666666666666667
23,12,12,45,0.6818181818181818,7.5
24,12,12,43,0.6515151515151515,7.166666666666667
25,13,13,52,0.6666666666666666,8.0
26,13,13,57,0.7307692307692307,8.76923076923077
27,13,13,54,0.6923076923076923,8.307692307692308
28,14,14,67,0.7362637362637363,9.571428571428571
29,14,14,65,0.7142857142857143,9.285714285714286
30,14,14,70,0.7692307692307693,10.0
31,15,15,84,0.8,11.2
32,15,15,78,0.7428571428571429,10.4
33,15,15,81,0.7714285714285715,10.8
34,16,16,98,0.8166666666666667,12.25
35,16,16,103,0.8583333333333333,12.875
36,16,16,101,0.8416666666666667,12.625
37,17,17,122,0.8970588235294118,14.352941176470589
38,17,17,116,0.8529411764705882,13.647058823529411
39,17,17,121,0.8897058823529411,14.235294117647058
40,18,18,140,0.9150326797385621,15.555555555555555
41,18,18,142,0.9281045751633987,15.777777777777779
42,18,18,137,0.8954248366013072,15.222222222222221
43,19,19,156,0.9122807017543859,16.42105263157895
44,19,19,150,0.8771929824561403,15.789473684210526
45,19,19,157,0.9181286549707602,16.526315789473685
46,20,20,172,0.9052631578947369,17.2
47,20,20,173,0.9105263157894737,17.3
48,20,20,168,0.8842105263157894,16.8
