instancia_id,caminho,num_vertices,num_arestas,cores_heuristica,tempo_segundos,densidade,grau_medio
a,instancias/a - le450_25a.col.txt,450,8260,25,0.24459409713745117,0.08176194011383321,36.71111111111111
b,instancias/b - inithx.i.1.col.txt,864,18707,54,0.5977716445922852,0.050177567486373975,43.30324074074074
c,instancias/c - r1000.1.col.txt,1000,14378,20,2.2879576683044434,0.028784784784784783,28.756
d,instancias/d - ash958GPIA.col.txt,1916,12506,6,1.7817280292510986,0.006816856266045995,13.054279749478079
e,instancias/e - wap03a.col.txt,4730,286722,56,63.26182198524475,0.025636607733220913,121.23551797040169
