Métrica,Valor
Tamanho da Amostra,50
Nível de Confiança,95%
Número de Simulações,"10,000"
ICs com Sucesso,"9,324"
ICs com Falha,676
Taxa Observada (%),93.24%
Taxa Esperada (%),95.00%
Diferença (%),1.76%
