Efeito,Sum Sq,DF,Mean Sq,F-statistic,p-value,Significante (α=0.05)
mes,-0.00048210261827675893,11,-4.382751075243263e-05,-4.519132748434336e-08,1.0,NÃO
ano,3.658441976213111e-05,14,2.613172840152222e-06,2.6944890906439627e-09,0.9999999999999999,NÃO
mes:ano,28718.022720434437,154,186.48066701580802,0.19228353944656584,0.9987683314615443,NÃO
