instancia_id,caminho,num_vertices,num_arestas,cores_heuristica,tempo_segundos,densidade,grau_medio
a,instancias/a - le450_25a.col.txt,450,8260,26,0.002069234848022461,0.08176194011383321,36.71111111111111
b,instancias/b - inithx.i.1.col.txt,864,18707,54,0.0037078857421875,0.050177567486373975,43.30324074074074
c,instancias/c - r1000.1.col.txt,1000,14378,23,0.005597352981567383,0.028784784784784783,28.756
d,instancias/d - ash958GPIA.col.txt,1916,12506,10,0.0042455196380615234,0.006816856266045995,13.054279749478079
e,instancias/e - wap03a.col.txt,4730,286722,56,0.09903717041015625,0.025636607733220913,121.23551797040169
