Métrica,Valor
Média,18.85623
Mediana,11.0
Desvio Padrão,31.490237537800507
Assimetria,16.69811665777568
Curtose,687.4346658403665
Mínimo,1.0
Máximo,2266.0
n_observações,100000.0
