Mês,N,Média,SE,IC Inferior,IC Superior,Margem de Erro
Janeiro,33874,18.040443998346813,0.15153352142616167,17.743433140986877,18.33745485570675,0.29701085735993504
Fevereiro,33520,17.653908114558472,0.14286142838006574,17.37389474893051,17.933921480186434,0.2800133656279617
Março,40054,18.281594846956608,0.16151394468224622,17.965023765897342,18.598165928015874,0.31657108105926623
Abril,50884,18.825858816130808,0.1388599393205675,18.55369186207668,19.098025770184936,0.2721669540541299
Maio,33036,19.27933163821286,0.16669286713930173,18.9526076513535,19.60605562507222,0.3267239868593591
Junho,49253,19.210850100501492,0.14961797521857081,18.91759705096163,19.504103150041356,0.29325304953986314
Julho,45156,18.519643015324654,0.13097217987852974,18.262935378826647,18.77635065182266,0.2567076364980069
Agosto,41479,18.742134574121845,0.1424875424681618,18.462855973046217,19.021413175197473,0.2792786010756263
Setembro,37966,18.80867091608281,0.171576171662348,18.472377077618795,19.144964754546827,0.33629383846401517
Outubro,44353,19.386287286091132,0.1687070074293817,19.055618603656107,19.716955968526158,0.33066868243502473
Novembro,27636,19.386633376754958,0.19406729828527963,19.006251801502987,19.767014952006928,0.38038157525196975
Dezembro,43279,20.69613438388133,0.1800699050583369,20.343193984515576,21.049074783247082,0.3529403993657526
