Mês,N,Média,DP,Erro Padrão,IC Inferior,IC Superior,Margem Erro
Janeiro,22864,17.954688593421974,28.103115731624477,0.18585676180616753,17.590396748445812,18.318980438398135,0.3642918449761605
Fevereiro,22920,17.52626527050611,25.85603409747603,0.17078691949191954,17.191511380754495,17.861019160257722,0.3347538897516131
Março,26520,18.137254901960784,30.82100217710414,0.18926050574467643,17.7662941958467,18.508215608074867,0.3709607061140832
Abril,33576,18.681081725041697,28.08396994331409,0.15326536417015565,18.380676301707567,18.981487148375827,0.30040542333412834
Maio,20663,19.168320185839423,29.577231632330072,0.20575994476029372,18.76501447932132,19.571625892357527,0.4033057065181053
Junho,29624,18.98332433162301,30.93492377398942,0.17973274231092598,18.63104023590238,19.33560842734364,0.3522840957206307
Julho,26988,18.429338965466133,26.862200318638997,0.1635144856877899,18.108842088320163,18.749835842612104,0.32049687714597197
Agosto,25039,18.58432844762171,27.384443172592484,0.17305949196162393,18.245121678575973,18.92353521666745,0.33920676904573704
Setembro,22779,18.924316256200886,36.42054049099296,0.24131207787383313,18.451328141176774,19.397304371224998,0.4729881150241103
Outubro,26335,19.587734953483956,34.90755350426316,0.21510611222363527,19.166115342183407,20.009354564784505,0.4216196113005485
Novembro,16676,19.486867354281603,33.62901592495675,0.2604163308862177,18.976423673948865,19.99731103461434,0.5104436803327375
Dezembro,26016,20.758533210332104,39.31612741000309,0.24375328194400084,20.280763328073157,21.23630309259105,0.47776988225894684
