coluna,tipo_python,categoria_tipo,valores_totais,valores_validos,valores_nulos,percentual_preenchimento,valores_unicos,taxa_unica,minimo,maximo,amplitude,intervalo_textual,media,mediana,moda,desvio_padrao,variancia,coeficiente_variacao_pct,assimetria,curtose,quartil_25,quartil_50,quartil_75,amplitude_interquartil,limite_inferior_iqr,limite_superior_iqr,range_iqr,soma,produto,percentil_5,percentil_95,valores_top_5,frequencia_top,comprimento_min,comprimento_max,comprimento_medio,comprimento_desvio,diversidade,valor_mais_frequente,frequencia_maxima
id_gta,int64,NUMÉRICO,11838896,11838896,0,100.0,8301177,70.12,6.0,18222380.0,18222374.0,"[6, 18222380]",8702163.763998,8591654.5,1961.0,5384438.28896,28992175687617.66,61.8747,0.0838,-1.2485,3750167.5,8591654.5,13356966.25,9606798.75,-10660030.625,27767164.375,"[3750167.5, 13356966.25]",103024011776938.0,,765016.0,17280631.0,,,,,,,,,
dt_emissao_gta,object,CATEGÓRICO,11838896,11838896,0,100.0,8267864,69.84,,,,,,,,,,,,,,,,,,,,,,,,"{'2012-04-19 00:00:00.0': 2777, '2012-04-18 00:00:00.0': 2041, '2012-08-30 00:00:00.0': 619, '2019-06-01 00:00:00.0': 519, '2013-09-16 00:00:00.0': 470}",2777.0,21.0,23.0,22.88,0.36,0.6984,2012-04-19 00:00:00.0,2777.0
ds_faixa_etaria,object,CATEGÓRICO,11838896,11838896,0,100.0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,"{'De 0 até 12 meses': 3884463, 'Acima de 36 meses': 3007839, 'De 13 até 24 meses': 2944075, 'De 25 até 36 meses': 2002519}",3884463.0,17.0,18.0,17.42,0.49,0.0,De 0 até 12 meses,3884463.0
tp_sexo,object,CATEGÓRICO,11838896,11838896,0,100.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,"{'F': 6059997, 'M': 5778899}",6059997.0,1.0,1.0,1.0,0.0,0.0,F,6059997.0
qt_animais,int64,NUMÉRICO,11838896,11838896,0,100.0,1135,0.01,1.0,7282.0,7281.0,"[1, 7282]",13.238132,6.0,1.0,23.261858,541.114036,175.7186,24.2133,3187.9134,2.0,6.0,17.0,15.0,-20.5,39.5,"[2.0, 17.0]",156724866.0,,1.0,45.0,,,,,,,,,
