Métrica,Valor
Estado/Origem,MG
Número de Observações,"100,000"
Média,18.8562
Mediana,11.0000
Desvio Padrão,31.4904
Mínimo,1.0000
Máximo,2266.0000
Assimetria,16.6981
Curtose,687.4347
