Mes,Nome_Mes,N,Media,DP_original,Media_Medias,DP_Medias,Shapiro_p,Normal
1,Janeiro,22864,17.954688593421974,28.10250115361923,17.940534,3.881758714145432,0.0005407773957937357,Não
2,Fevereiro,22920,17.52626527050611,25.855470041714067,17.547991999999997,3.6314829874220806,0.01634047106938596,Não
3,Março,26520,18.137254901960784,30.820421081841555,18.139492,4.317113709637031,6.064918617704868e-13,Não
4,Abril,33576,18.681081725041697,28.08355172525575,18.696282,3.980356754924865,6.245361125449149e-09,Não
5,Maio,20663,19.168320185839423,29.576515918506004,19.13596,4.150489599842409,0.00032054196638239054,Não
6,Junho,29624,18.98332433162301,30.93440164354044,18.921215999999998,4.331948333180349,3.018522106380711e-11,Não
7,Julho,26988,18.429338965466133,26.861702644688393,18.422878000000004,3.7913746421470935,7.745265551124447e-07,Não
8,Agosto,25039,18.58432844762171,27.383896331332927,18.588464000000002,3.857088202349539,3.3790603743901455e-06,Não
9,Setembro,22779,18.924316256200886,36.41974104983629,18.840126,5.036390106427818,1.8188059772471166e-07,Não
10,Outubro,26335,19.587734953483956,34.90689073826942,19.564768,4.921823676867752,0.004978640206994864,Não
11,Novembro,16676,19.486867354281603,33.62800760401369,19.524116,4.967490587665365,2.360965652219383e-05,Não
12,Dezembro,26016,20.758533210332104,39.31537178836209,20.692388,5.574622130463732,2.7172258793481893e-10,Não
