dt (s),tempo_final (s),v_final_num (m/s),v_final_analitico (m/s),erro_relativo
0.1070,2.1400,-232.2393,349.4344,1.6646
0.1080,2.1600,-240.1765,363.8952,1.6600
0.1090,2.1800,-248.3656,378.9462,1.6554
0.1100,2.2000,-256.8142,394.6115,1.6508
0.1110,2.2200,-265.5301,410.9161,1.6462
0.1120,2.1280,-223.3845,341.0315,1.6550
0.1130,2.1470,-230.5771,354.4300,1.6506
0.1140,2.1660,-237.9841,368.3475,1.6461
0.1150,2.1850,-245.6114,382.8040,1.6416
0.1160,2.2040,-253.4652,397.8205,1.6371
0.1170,2.2230,-261.5519,413.4185,1.6327
0.1180,2.2420,-269.8781,429.6207,1.6282
0.1190,2.1420,-223.9765,350.8546,1.6384
0.1200,2.1600,-230.7243,363.8952,1.6340
0.1210,2.1780,-237.6598,377.4139,1.6297
0.1220,2.1960,-244.7877,391.4281,1.6254
0.1230,2.2140,-252.1131,405.9561,1.6210
0.1240,2.2320,-259.6412,421.0165,1.6167
0.1250,2.2500,-267.3772,436.6290,1.6124
0.1260,2.2680,-275.3265,452.8138,1.6080
0.1270,2.1590,-225.0787,363.1584,1.6198
0.1280,2.1760,-231.3945,375.8877,1.6156
0.1290,2.1930,-237.8733,389.0573,1.6114
0.1300,2.2100,-244.5190,402.6823,1.6072
0.1310,2.2270,-251.3357,416.7785,1.6030
0.1320,2.2440,-258.3274,431.3623,1.5989
0.1330,2.2610,-265.4983,446.4504,1.5947
0.1340,2.2780,-272.8528,462.0604,1.5905
0.1350,2.2950,-280.3953,478.2102,1.5863
0.1360,2.1760,-225.4686,375.8877,1.5998
0.1370,2.1920,-231.3331,388.2701,1.5958
0.1380,2.2080,-237.3372,401.0552,1.5918
0.1390,2.2240,-243.4842,414.2560,1.5878
0.1400,2.2400,-249.7772,427.8861,1.5837
0.1410,2.2560,-256.2194,441.9594,1.5797
0.1420,2.2720,-262.8141,456.4903,1.5757
0.1430,2.2880,-269.5648,471.4937,1.5717
0.1440,2.3040,-276.4747,486.9850,1.5677
0.1450,2.3200,-283.5475,502.9800,1.5637
0.1460,2.1900,-223.9586,386.7006,1.5792
0.1470,2.2050,-229.3307,398.6267,1.5753
0.1480,2.2200,-234.8204,410.9161,1.5715
0.1490,2.2350,-240.4299,423.5797,1.5676
0.1500,2.2500,-246.1618,436.6290,1.5638
0.1510,2.2650,-252.0185,450.0757,1.5599
0.1520,2.2800,-258.0024,463.9320,1.5561
0.1530,2.2950,-264.1163,478.2102,1.5523
0.1540,2.3100,-270.3626,492.9232,1.5485
0.1550,2.3250,-276.7442,508.0844,1.5447
0.1560,2.3400,-283.2635,523.7072,1.5409
0.1570,2.3550,-289.9235,539.8058,1.5371
0.1580,2.2120,-224.2986,404.3159,1.5548
0.1590,2.2260,-229.2238,415.9360,1.5511
0.1600,2.2400,-234.2470,427.8861,1.5475
0.1610,2.2540,-239.3702,440.1755,1.5438
0.1620,2.2680,-244.5951,452.8138,1.5402
0.1630,2.2820,-249.9237,465.8111,1.5365
0.1640,2.2960,-255.3578,479.1774,1.5329
0.1650,2.3100,-260.8993,492.9232,1.5293
0.1660,2.3240,-266.5502,507.0594,1.5257
0.1670,2.3380,-272.3125,521.5970,1.5221
0.1680,2.3520,-278.1882,536.5474,1.5185
0.1690,2.3660,-284.1794,551.9223,1.5149
0.1700,2.3800,-290.2881,567.7338,1.5113
0.1710,2.3940,-296.5165,583.9942,1.5077
0.1720,2.2360,-224.0918,424.4376,1.5280
0.1730,2.2490,-228.5616,435.7468,1.5245
0.1740,2.2620,-233.1118,447.3540,1.5211
0.1750,2.2750,-237.7437,459.2670,1.5177
0.1760,2.2880,-242.4587,471.4937,1.5142
0.1770,2.3010,-247.2582,484.0425,1.5108
0.1780,2.3140,-252.1434,496.9218,1.5074
0.1790,2.3270,-257.1160,510.1404,1.5040
0.1800,2.3400,-262.1771,523.7072,1.5006
0.1810,2.3530,-267.3284,537.6314,1.4972
0.1820,2.3660,-272.5713,551.9223,1.4939
0.1830,2.3790,-277.9072,566.5896,1.4905
