Métrica,Valor
D1 - Média,1194.5523
D1 - DP,226.5616
D2 - Média,1260.5383
D2 - DP,226.572
D3 - Média,1246.819
D3 - DP,84.1807
D4 - Média,1379.5981
D4 - DP,106.3611
F-Estatística (Tratamento),2.7738
P-Value Tratamento,0.13299
F-Estatística (Bloco),15.3194
P-Value Bloco,0.004392
R-Squared,0.8665
Resíduos Padrão,81.2928
