Limite_Inferior,Limite_Superior,Contém_Média
12.189294671233627,19.950705328766375,Sim
11.80236527565485,22.717634724345153,Sim
14.743586194559828,26.23641380544017,Sim
15.38588613016362,24.094113869836377,Sim
14.28002328294645,22.379976717053545,Sim
12.653885160121606,18.966114839878394,Sim
13.810872008475236,24.149127991524765,Sim
13.859295756960002,21.720704243039997,Sim
11.907103987798187,33.55289601220181,Sim
13.128089497850134,20.671910502149863,Sim
14.831398188704739,24.048601811295264,Sim
15.562305496956721,28.057694503043276,Sim
14.859037522353653,22.960962477646348,Sim
11.423766698171288,20.516233301828713,Sim
15.581555575525744,25.678444424474254,Sim
11.962360609703376,30.397639390296625,Sim
16.40053328275013,29.199466717249873,Sim
13.28154962637031,23.17845037362969,Sim
14.32416093494086,23.17583906505914,Sim
16.47153198185623,24.44846801814377,Sim
9.520175226633317,15.639824773366684,Não
10.250220450799548,15.189779549200454,Não
14.380312465819824,23.45968753418018,Sim
16.354771437391033,25.785228562608967,Sim
13.689298281347703,22.350701718652296,Sim
13.60762162652501,26.39237837347499,Sim
13.971258556171856,27.928741443828144,Sim
12.632236918283258,19.98776308171674,Sim
16.95644460346498,27.123555396535018,Sim
11.928337791104596,25.931662208895403,Sim
13.66150074919757,31.638499250802425,Sim
13.588023821821366,23.991976178178632,Sim
12.63492089983632,18.74507910016368,Não
13.333724177651458,19.486275822348542,Sim
13.088924903207625,23.331075096792375,Sim
13.279220118615664,27.840779881384336,Sim
15.567283245481498,25.712716754518503,Sim
11.265491117133994,17.834508882866007,Não
14.145211930408003,22.014788069591994,Sim
15.136938205200549,23.40306179479945,Sim
15.964301447032463,29.875698552967542,Sim
13.228216316106593,19.951783683893407,Sim
14.144781638477282,22.975218361522714,Sim
14.194948213112324,21.42505178688767,Sim
13.968389112715027,22.33161088728497,Sim
14.210016881167126,24.04998311883287,Sim
16.37883713847551,28.101162861524486,Sim
14.833585690884497,25.306414309115503,Sim
17.48632683743663,32.31367316256337,Sim
15.73668456638132,25.343315433618677,Sim
14.277809035349955,22.002190964650048,Sim
15.042901581482624,25.177098418517375,Sim
12.771296646442012,20.28870335355799,Sim
13.347624884833785,21.912375115166213,Sim
12.586228305550721,23.23377169444928,Sim
14.857013464624302,23.182986535375697,Sim
14.997156305883356,22.842843694116645,Sim
14.300550025856737,20.759449974143266,Sim
12.447124659490767,22.252875340509235,Sim
14.05038538132092,21.44961461867908,Sim
15.893894037476805,26.506105962523193,Sim
16.98259370008533,25.71740629991467,Sim
11.82281367800799,18.41718632199201,Não
15.893115089947326,26.566884910052675,Sim
14.041479221056921,22.678520778943078,Sim
14.151216003910141,23.44878399608986,Sim
11.893366003019294,19.24663399698071,Sim
14.457336748771393,24.202663251228604,Sim
13.09986575681889,23.140134243181112,Sim
12.432029754437748,18.807970245562252,Não
12.920378691112969,19.75962130888703,Sim
12.327698729545023,18.59230127045498,Não
16.8111362832491,26.6688637167509,Sim
13.479058565381404,20.680941434618592,Sim
12.432018792288535,19.447981207711464,Sim
12.577009396208188,19.622990603791813,Sim
13.166640190698267,21.573359809301735,Sim
14.202240543890294,23.517759456109705,Sim
11.851207756004293,24.588792243995705,Sim
17.811393351154457,35.108606648845544,Sim
13.457623869249925,21.882376130750078,Sim
14.712746565036106,24.26725343496389,Sim
13.649166184154641,26.610833815845357,Sim
13.18231621325417,20.69768378674583,Sim
12.578823931488682,20.98117606851132,Sim
13.008596157823622,28.151403842176375,Sim
11.208879645526821,19.95112035447318,Sim
12.857032316286734,22.462967683713266,Sim
10.75797032302578,17.08202967697422,Não
13.733470711378,21.046529288622,Sim
13.280390095241499,22.419609904758502,Sim
12.531989189674539,19.368010810325462,Sim
10.963243923965722,29.53675607603428,Sim
14.703777202279344,23.076222797720657,Sim
12.8271008268697,20.472899173130298,Sim
10.95138746571877,17.68861253428123,Não
12.066399875831632,20.45360012416837,Sim
13.283479143790284,24.05652085620972,Sim
12.169507035719418,38.27049296428058,Sim
13.124413189867617,21.295586810132384,Sim
12.923045290359834,20.936954709640165,Sim
12.90299688523644,19.23700311476356,Sim
14.91439501343381,24.525604986566186,Sim
12.907474023127135,19.812525976872863,Sim
14.96845905569311,23.49154094430689,Sim
14.177187774321181,21.942812225678814,Sim
14.04410445454692,21.175895545453077,Sim
11.080245776785812,17.01975422321419,Não
11.831590093191359,16.66840990680864,Não
13.776373923505197,19.9436260764948,Sim
12.345975222478007,18.05402477752199,Não
15.589152071117018,27.05084792888298,Sim
11.11051618841829,17.30948381158171,Não
13.220340329335198,22.5396596706648,Sim
7.911601269188083,42.22839873081192,Sim
