tempo_s,posicao_m,velocidade_m_s
0.0000,100.0000,0.0000
0.0010,100.0000,-0.0098
0.0020,100.0000,-0.0197
0.0030,100.0000,-0.0297
0.0040,99.9999,-0.0398
0.0050,99.9999,-0.0500
0.0060,99.9999,-0.0604
0.0070,99.9998,-0.0708
0.0080,99.9997,-0.0813
0.0090,99.9996,-0.0919
0.0100,99.9995,-0.1026
0.0110,99.9994,-0.1135
0.0120,99.9993,-0.1244
0.0130,99.9992,-0.1355
0.0140,99.9991,-0.1466
0.0150,99.9989,-0.1579
0.0160,99.9988,-0.1693
0.0170,99.9986,-0.1808
0.0180,99.9984,-0.1924
0.0190,99.9982,-0.2042
0.0200,99.9980,-0.2160
0.0210,99.9978,-0.2280
0.0220,99.9976,-0.2401
0.0230,99.9973,-0.2523
0.0240,99.9971,-0.2646
0.0250,99.9968,-0.2771
0.0260,99.9965,-0.2896
0.0270,99.9963,-0.3024
0.0280,99.9959,-0.3152
0.0290,99.9956,-0.3281
0.0300,99.9953,-0.3412
0.0310,99.9950,-0.3545
0.0320,99.9946,-0.3678
0.0330,99.9942,-0.3813
0.0340,99.9939,-0.3949
0.0350,99.9935,-0.4087
0.0360,99.9931,-0.4226
0.0370,99.9926,-0.4366
0.0380,99.9922,-0.4508
0.0390,99.9917,-0.4651
0.0400,99.9913,-0.4796
0.0410,99.9908,-0.4942
0.0420,99.9903,-0.5089
0.0430,99.9898,-0.5238
0.0440,99.9893,-0.5389
0.0450,99.9887,-0.5541
0.0460,99.9882,-0.5694
0.0470,99.9876,-0.5849
0.0480,99.9870,-0.6006
0.0490,99.9864,-0.6164
0.0500,99.9858,-0.6324
0.0510,99.9852,-0.6485
0.0520,99.9845,-0.6648
0.0530,99.9839,-0.6813
0.0540,99.9832,-0.6979
0.0550,99.9825,-0.7147
0.0560,99.9818,-0.7316
0.0570,99.9810,-0.7488
0.0580,99.9803,-0.7661
0.0590,99.9795,-0.7835
0.0600,99.9787,-0.8012
0.0610,99.9779,-0.8190
0.0620,99.9771,-0.8370
0.0630,99.9763,-0.8552
0.0640,99.9754,-0.8735
0.0650,99.9746,-0.8921
0.0660,99.9737,-0.9108
0.0670,99.9728,-0.9297
0.0680,99.9718,-0.9488
0.0690,99.9709,-0.9681
0.0700,99.9699,-0.9876
0.0710,99.9689,-1.0073
0.0720,99.9679,-1.0272
0.0730,99.9669,-1.0473
0.0740,99.9658,-1.0676
0.0750,99.9648,-1.0881
0.0760,99.9637,-1.1087
0.0770,99.9626,-1.1296
