tempo,posicao,velocidade,aceleracao
0.0000,100.0000,0.0000,-9.8100
0.0100,100.0000,-0.0981,-9.8110
0.0200,99.9990,-0.1962,-9.8120
0.0300,99.9971,-0.2943,-9.8129
0.0400,99.9941,-0.3925,-9.8139
0.0500,99.9902,-0.4906,-9.8149
0.0600,99.9853,-0.5887,-9.8159
0.0700,99.9794,-0.6869,-9.8169
0.0800,99.9725,-0.7851,-9.8179
0.0900,99.9647,-0.8833,-9.8188
0.1000,99.9558,-0.9814,-9.8198
0.1100,99.9460,-1.0796,-9.8208
0.1200,99.9352,-1.1778,-9.8218
0.1300,99.9235,-1.2761,-9.8228
0.1400,99.9107,-1.3743,-9.8237
0.1500,99.8970,-1.4725,-9.8247
0.1600,99.8822,-1.5708,-9.8257
0.1700,99.8665,-1.6690,-9.8267
0.1800,99.8498,-1.7673,-9.8277
0.1900,99.8322,-1.8656,-9.8287
0.2000,99.8135,-1.9639,-9.8296
0.2100,99.7939,-2.0622,-9.8306
0.2200,99.7732,-2.1605,-9.8316
0.2300,99.7516,-2.2588,-9.8326
0.2400,99.7290,-2.3571,-9.8336
0.2500,99.7055,-2.4554,-9.8346
0.2600,99.6809,-2.5538,-9.8355
0.2700,99.6554,-2.6521,-9.8365
0.2800,99.6289,-2.7505,-9.8375
0.2900,99.6014,-2.8489,-9.8385
0.3000,99.5729,-2.9473,-9.8395
0.3100,99.5434,-3.0457,-9.8405
0.3200,99.5129,-3.1441,-9.8414
0.3300,99.4815,-3.2425,-9.8424
0.3400,99.4491,-3.3409,-9.8434
0.3500,99.4157,-3.4393,-9.8444
0.3600,99.3813,-3.5378,-9.8454
0.3700,99.3459,-3.6362,-9.8464
0.3800,99.3095,-3.7347,-9.8473
0.3900,99.2722,-3.8332,-9.8483
0.4000,99.2338,-3.9317,-9.8493
0.4100,99.1945,-4.0302,-9.8503
0.4200,99.1542,-4.1287,-9.8513
0.4300,99.1129,-4.2272,-9.8523
0.4400,99.0707,-4.3257,-9.8533
0.4500,99.0274,-4.4242,-9.8542
0.4600,98.9832,-4.5228,-9.8552
0.4700,98.9379,-4.6213,-9.8562
0.4800,98.8917,-4.7199,-9.8572
0.4900,98.8445,-4.8185,-9.8582
0.5000,98.7963,-4.9170,-9.8592
0.5100,98.7472,-5.0156,-9.8602
0.5200,98.6970,-5.1142,-9.8611
0.5300,98.6459,-5.2128,-9.8621
0.5400,98.5938,-5.3115,-9.8631
0.5500,98.5406,-5.4101,-9.8641
0.5600,98.4865,-5.5087,-9.8651
0.5700,98.4314,-5.6074,-9.8661
0.5800,98.3754,-5.7060,-9.8671
0.5900,98.3183,-5.8047,-9.8680
0.6000,98.2603,-5.9034,-9.8690
0.6100,98.2012,-6.0021,-9.8700
0.6200,98.1412,-6.1008,-9.8710
0.6300,98.0802,-6.1995,-9.8720
0.6400,98.0182,-6.2982,-9.8730
0.6500,97.9552,-6.3969,-9.8740
0.6600,97.8913,-6.4957,-9.8750
0.6700,97.8263,-6.5944,-9.8759
0.6800,97.7604,-6.6932,-9.8769
0.6900,97.6934,-6.7920,-9.8779
0.7000,97.6255,-6.8907,-9.8789
0.7100,97.5566,-6.9895,-9.8799
0.7200,97.4867,-7.0883,-9.8809
0.7300,97.4158,-7.1871,-9.8819
0.7400,97.3439,-7.2860,-9.8829
0.7500,97.2711,-7.3848,-9.8838
0.7600,97.1972,-7.4836,-9.8848
0.7700,97.1224,-7.5825,-9.8858
0.7800,97.0466,-7.6813,-9.8868
0.7900,96.9698,-7.7802,-9.8878
0.8000,96.8920,-7.8791,-9.8888
0.8100,96.8132,-7.9780,-9.8898
0.8200,96.7334,-8.0769,-9.8908
0.8300,96.6526,-8.1758,-9.8918
0.8400,96.5709,-8.2747,-9.8927
0.8500,96.4881,-8.3736,-9.8937
0.8600,96.4044,-8.4726,-9.8947
0.8700,96.3197,-8.5715,-9.8957
0.8800,96.2339,-8.6705,-9.8967
0.8900,96.1472,-8.7694,-9.8977
0.9000,96.0595,-8.8684,-9.8987
0.9100,95.9709,-8.9674,-9.8997
0.9200,95.8812,-9.0664,-9.9007
0.9300,95.7905,-9.1654,-9.9017
0.9400,95.6989,-9.2644,-9.9026
0.9500,95.6062,-9.3634,-9.9036
0.9600,95.5126,-9.4625,-9.9046
0.9700,95.4180,-9.5615,-9.9056
0.9800,95.3224,-9.6606,-9.9066
0.9900,95.2257,-9.7596,-9.9076
1.0000,95.1281,-9.8587,-9.9086
1.0100,95.0296,-9.9578,-9.9096
1.0200,94.9300,-10.0569,-9.9106
1.0300,94.8294,-10.1560,-9.9116
1.0400,94.7279,-10.2551,-9.9126
1.0500,94.6253,-10.3542,-9.9135
1.0600,94.5218,-10.4534,-9.9145
1.0700,94.4172,-10.5525,-9.9155
1.0800,94.3117,-10.6517,-9.9165
1.0900,94.2052,-10.7508,-9.9175
1.1000,94.0977,-10.8500,-9.9185
1.1100,93.9892,-10.9492,-9.9195
1.1200,93.8797,-11.0484,-9.9205
1.1300,93.7692,-11.1476,-9.9215
1.1400,93.6577,-11.2468,-9.9225
1.1500,93.5453,-11.3460,-9.9235
1.1600,93.4318,-11.4453,-9.9245
1.1700,93.3173,-11.5445,-9.9254
1.1800,93.2019,-11.6438,-9.9264
1.1900,93.0855,-11.7430,-9.9274
1.2000,92.9680,-11.8423,-9.9284
1.2100,92.8496,-11.9416,-9.9294
1.2200,92.7302,-12.0409,-9.9304
1.2300,92.6098,-12.1402,-9.9314
1.2400,92.4884,-12.2395,-9.9324
1.2500,92.3660,-12.3388,-9.9334
1.2600,92.2426,-12.4382,-9.9344
1.2700,92.1182,-12.5375,-9.9354
1.2800,91.9928,-12.6369,-9.9364
1.2900,91.8665,-12.7362,-9.9374
1.3000,91.7391,-12.8356,-9.9384
1.3100,91.6108,-12.9350,-9.9393
1.3200,91.4814,-13.0344,-9.9403
1.3300,91.3511,-13.1338,-9.9413
1.3400,91.2197,-13.2332,-9.9423
1.3500,91.0874,-13.3326,-9.9433
1.3600,90.9541,-13.4321,-9.9443
1.3700,90.8197,-13.5315,-9.9453
1.3800,90.6844,-13.6310,-9.9463
1.3900,90.5481,-13.7304,-9.9473
1.4000,90.4108,-13.8299,-9.9483
1.4100,90.2725,-13.9294,-9.9493
1.4200,90.1332,-14.0289,-9.9503
1.4300,89.9929,-14.1284,-9.9513
1.4400,89.8516,-14.2279,-9.9523
1.4500,89.7094,-14.3274,-9.9533
1.4600,89.5661,-14.4269,-9.9543
1.4700,89.4218,-14.5265,-9.9553
1.4800,89.2766,-14.6260,-9.9563
1.4900,89.1303,-14.7256,-9.9573
1.5000,88.9830,-14.8252,-9.9583
1.5100,88.8348,-14.9248,-9.9592
1.5200,88.6855,-15.0243,-9.9602
1.5300,88.5353,-15.1239,-9.9612
1.5400,88.3841,-15.2236,-9.9622
1.5500,88.2318,-15.3232,-9.9632
1.5600,88.0786,-15.4228,-9.9642
1.5700,87.9244,-15.5225,-9.9652
1.5800,87.7691,-15.6221,-9.9662
1.5900,87.6129,-15.7218,-9.9672
1.6000,87.4557,-15.8214,-9.9682
1.6100,87.2975,-15.9211,-9.9692
1.6200,87.1383,-16.0208,-9.9702
1.6300,86.9781,-16.1205,-9.9712
1.6400,86.8169,-16.2202,-9.9722
1.6500,86.6547,-16.3200,-9.9732
1.6600,86.4915,-16.4197,-9.9742
1.6700,86.3273,-16.5194,-9.9752
1.6800,86.1621,-16.6192,-9.9762
1.6900,85.9959,-16.7189,-9.9772
1.7000,85.8287,-16.8187,-9.9782
1.7100,85.6605,-16.9185,-9.9792
1.7200,85.4913,-17.0183,-9.9802
1.7300,85.3211,-17.1181,-9.9812
1.7400,85.1500,-17.2179,-9.9822
1.7500,84.9778,-17.3177,-9.9832
