Métrica,Valor
Observação A - Média,19.5957
Observação A - DP,1.9548
Observação B - Média,21.7475
Observação B - DP,1.7183
Observação C - Média,27.858
Observação C - DP,1.6233
Teste F - Estatística,58.5807
Teste F - p-value,0.0
Resultado F,Significativo
