Métrica,Valor
Revestimento A - Média,19.5957
Revestimento A - DP,1.9548
Revestimento B - Média,21.7475
Revestimento B - DP,1.7183
Revestimento C - Média,27.858
Revestimento C - DP,1.6233
F-Estatística,58.5807
P-Value ANOVA,0.0
R-Squared,0.8127
Resíduos Padrão,1.7709
